PROCESS,LINE,MODEL_NO,PART_NO
CUT,CNCCT100,C163RAA01,57.16C07.002
CUT,CNCCT200,C129HAX01,57.12C42.A11
CUT,CNCCT300,B160QAN02,57.16B04.AAD
CUT,CNCCT400,C215RAX01,57.21C01.A04
CUT,CNCCT500,B160UAN01,57.16B05.A56
CUT,CNCCT600,C304RAT01,57.30C02.005
CUT,CNCCT700,C304RAT01,57.30C02.005
CUT,CNCCT901,C215ZAA01,57.21C04.001
CUT,CNCCT902,C215ZAA01,57.21C04.001
CUT,CNCCT903,C215ZAA01,57.21C04.001
CUT,CNCCT904,C123HAN10,57.12C21.A12
CUT,CNCCT905,B160QAN03,57.16B09.A14
CUT,CNCCT906,B140QAX01,57.14BAF.A03
CUT,CNCCT907,,
CUT,CNCCT908,C120UAA01,57.12C20.010
CUT,CNCCT909,C123HAN10,57.12C21.A59
CUT,CNCCT910,C163RAA01,57.16C07.002
CUT,CNCCT90A,C080HAA01,57.08C59.A05
CUT,CNCCT801,B160QAN03,57.16B09.A14
AOI,CNCT1100,C123HAN10,57.12C21.A59
AOI,CNCT1200,C146HAA02,57.14C09.005
AOI,CNCT1300,B160QAN02,57.16B04.AAD
AOI,CNCT1400,C129HAX01,57.12C42.A11
AOI,CNCT1500,C123HAX04,57.12C19.AB2
AOI,CNCT1600,C080HAA01,57.08C59.A05
AOI,CNCT1700,C123HAN10,57.12C21.A12
AOI,CNCT1800,B140QAX01,57.14BAF.A03
AOI,CNCT1900,C163RAA01,57.16C07.002
AOI,CNCT1A00,B160QAN03,57.16B09.A14
AOI,CNCT1B00,B160UAN01,57.16B05.A56
AOI,CNCT1C00,C215ZAA01,57.21C04.001
AOI,CNCT1D00,C120UAA01,57.12C20.010
AOI,CNCT1E00,C132IAA01,57.13C02.005
AOI,CNCT1F00,C304RAT01,57.30C02.005
